"","resp.new.1","resp.new.2","resp.trt.1","resp.trt.2","label.post.prob.1","label.post.prob.2","label.post.mean.1","label.post.mean.2","fit.post.prob.1","fit.post.prob.2","fit.post.mean.1","fit.post.mean.2"
"3414",53,42,54,43,0.495166666666667,0.5616,0.362699686791897,0.281491886643831,0.517308354377747,0.572547793388367,0.379194617271423,0.286297351121902
"3415",83,46,85,35,0.6979,0.0875333333333333,0.536893214200332,0.303674535062297,0.682987809181213,0.0923662781715393,0.522740423679352,0.302286744117737
"3416",33,85,38,74,0.657033333333333,0.182366666666667,0.236312149172813,0.54630237413173,0.650649428367615,0.184323072433472,0.25560337305069,0.513987958431244
"3417",72,30,59,25,0.0790333333333333,0.1621,0.472096468817017,0.213702087008073,0.105332612991333,0.199796944856644,0.473294049501419,0.229253575205803
"3418",107,84,97,71,0.167266666666667,0.109566666666667,0.695964678013675,0.543962640506751,0.19744348526001,0.13921195268631,0.659414529800415,0.507150769233704
"3419",56,16,46,48,0.0947666666666667,1,0.377558132338261,0.129811303606091,0.11772295832634,1.0088951587677,0.388342380523682,0.153193742036819
"3420",69,72,61,57,0.204333333333333,0.0812666666666667,0.454226110426195,0.459261339784073,0.208165287971497,0.100181043148041,0.449267238378525,0.432907402515411
"3421",73,77,69,61,0.3474,0.0658333333333333,0.482361341371733,0.492337256752335,0.37429866194725,0.0906749367713928,0.471276074647903,0.461667388677597
"3422",28,16,46,20,0.9838,0.646433333333333,0.202758553598694,0.124002941467637,0.964376270771027,0.656556725502014,0.238593220710754,0.146958976984024
"3423",44,38,34,62,0.0509666666666667,0.998733333333333,0.310164008298934,0.257893534314888,0.102079123258591,0.99824857711792,0.331291377544403,0.267197251319885
"3424",94,51,97,51,0.763833333333333,0.5587,0.605471998686143,0.334095273775643,0.740943908691406,0.559951663017273,0.581960916519165,0.325115531682968
"3425",39,39,40,47,0.418433333333333,0.853533333333333,0.280030562029552,0.262981352413542,0.444255232810974,0.851438820362091,0.303354114294052,0.272406995296478
"3426",95,59,94,61,0.591866666666667,0.679666666666667,0.61245533255061,0.382469856258146,0.587415874004364,0.685290277004242,0.588911294937134,0.366993069648743
"3427",65,85,48,88,0.0225666666666667,0.777233333333333,0.43172447922593,0.542805834555408,0.0600274801254272,0.79551237821579,0.426384508609772,0.50632381439209
"3428",86,56,83,49,0.4833,0.254,0.555592483943528,0.363437703850364,0.482384771108627,0.275178611278534,0.540513396263123,0.349097967147827
"3429",106,40,105,29,0.6117,0.0619333333333333,0.682011621536066,0.270143510494457,0.605165600776672,0.0794474482536316,0.647088050842285,0.264176338911057
"3430",64,23,63,22,0.467533333333333,0.2971,0.425359318195973,0.17299613128185,0.479817986488342,0.325451076030731,0.431011945009232,0.192150309681892
"3431",54,70,55,81,0.513033333333333,0.9521,0.366984280665094,0.445218606057867,0.527693092823029,0.955502867698669,0.374078333377838,0.427753031253815
"3432",106,43,96,49,0.208666666666667,0.8014,0.681714025481663,0.285705778709223,0.225388705730438,0.790387034416199,0.648154377937317,0.282143831253052
"3433",90,78,82,107,0.2403,0.999933333333333,0.586102581271014,0.500493948935328,0.263922572135925,0.999800682067871,0.563275277614594,0.471279919147491
"3434",74,85,58,92,0.0371,0.886133333333333,0.487481989625235,0.544016668258633,0.0705019235610962,0.886075496673584,0.474641174077988,0.507117033004761
"3435",42,23,44,28,0.5116,0.680466666666667,0.294744456382143,0.170613805035865,0.516682505607605,0.705272555351257,0.319491028785706,0.184319972991943
"3436",76,44,83,44,0.8554,0.520066666666667,0.493738177849836,0.29305712827418,0.838249623775482,0.528995096683502,0.490678250789642,0.292470723390579
"3437",26,21,43,9,0.9779,0.00553333333333333,0.191276923539954,0.15419832809748,0.932569801807404,0.030829906463623,0.229139253497124,0.174841612577438
